id,firstname,lastname,email,status,Department
100,Marguerite,Cullin,Marguerite.Cullin@jbu.edu,Professor,Religion
101,Sindee,Gherardo,Sindee.Gherardo@jbu.edu,Student,Kinesiology
102,Katharina,Brotherson,Katharina.Brotherson@jbu.edu,Professor,Kinesiology
103,Loree,Randene,Loree.Randene@jbu.edu,Professor,Politics
104,Rebeca,Chobot,Rebeca.Chobot@jbu.edu,Student,Politics
105,Elsie,Ackerley,Elsie.Ackerley@jbu.edu,Applicant,Kinesiology
106,Micheline,Barney,Micheline.Barney@jbu.edu,Professor,Engineering
107,Krystle,Wenoa,Krystle.Wenoa@jbu.edu,Professor,Sciences
108,Tomasina,Baudin,Tomasina.Baudin@jbu.edu,Employee,Engineering
109,Olwen,Garek,Olwen.Garek@jbu.edu,Employee,Sciences
110,Rani,Keily,Rani.Keily@jbu.edu,Applicant,Business
111,Edyth,Noelyn,Edyth.Noelyn@jbu.edu,Applicant,Computer Science
112,Tybie,Peonir,Tybie.Peonir@jbu.edu,Professor,Mathematics
113,Allyce,Abbot,Allyce.Abbot@jbu.edu,Professor,Mathematics
114,Antonietta,Rad,Antonietta.Rad@jbu.edu,Professor,Nursing
115,Malina,Delacourt,Malina.Delacourt@jbu.edu,Professor,Religion
116,Fredericka,Anton,Fredericka.Anton@jbu.edu,Student,Business
117,Elmira,Aldric,Elmira.Aldric@jbu.edu,Applicant,Business
118,Jean,Kenwood,Jean.Kenwood@jbu.edu,Student,Sciences
119,Zaria,Yam,Zaria.Yam@jbu.edu,Applicant,Politics
120,Dianemarie,Ciro,Dianemarie.Ciro@jbu.edu,Professor,Nursing
121,Claresta,Nea,Claresta.Nea@jbu.edu,Professor,Business
122,Dorthy,Pond,Dorthy.Pond@jbu.edu,Employee,Sciences
123,Rebeca,Colyer,Rebeca.Colyer@jbu.edu,Professor,Mathematics
124,Joane,Isacco,Joane.Isacco@jbu.edu,Applicant,Nursing
125,Kelly,Weide,Kelly.Weide@jbu.edu,Applicant,Computer Science
126,Frances,Malvino,Frances.Malvino@jbu.edu,Employee,Sciences
127,Meghann,Toor,Meghann.Toor@jbu.edu,Applicant,Nursing
128,Isa,Ambrosia,Isa.Ambrosia@jbu.edu,Student,Kinesiology
129,Doro,Scammon,Doro.Scammon@jbu.edu,Professor,Business
130,Olwen,Sundin,Olwen.Sundin@jbu.edu,Student,Mathematics
131,Aaren,Presber,Aaren.Presber@jbu.edu,Student,Politics
132,Dominga,Quinn,Dominga.Quinn@jbu.edu,Professor,Business
133,Chandra,Stephie,Chandra.Stephie@jbu.edu,Professor,Nursing
134,Winifred,Henebry,Winifred.Henebry@jbu.edu,Professor,Engineering
